ts,mem_used_mib
2026-08-10T15:49:16+00:00,3
2026-08-10T15:49:26+00:00,19
2026-08-10T15:49:36+00:00,7359
2026-08-10T15:49:46+00:00,21889
2026-08-10T15:49:56+00:00,21889
2026-08-10T15:50:07+00:00,21889
2026-08-10T15:50:17+00:00,21889
2026-08-10T15:50:27+00:00,21889
2026-08-10T15:50:37+00:00,21889
2026-08-10T15:50:47+00:00,21889
2026-08-10T15:50:57+00:00,21889
2026-08-10T15:51:07+00:00,21889
2026-08-10T15:51:17+00:00,21889
2026-08-10T15:51:27+00:00,21889
2026-08-10T15:51:37+00:00,21889
2026-08-10T15:51:47+00:00,21889
2026-08-10T15:51:57+00:00,21889
2026-08-10T15:52:07+00:00,21889
2026-08-10T15:52:17+00:00,21889
2026-08-10T15:52:27+00:00,21889
2026-08-10T15:52:37+00:00,21889
2026-08-10T15:52:47+00:00,21889
2026-08-10T15:52:57+00:00,21889
2026-08-10T15:53:07+00:00,21889
2026-08-10T15:53:17+00:00,21889
2026-08-10T15:53:27+00:00,21889
2026-08-10T15:53:37+00:00,21889
2026-08-10T15:53:47+00:00,21889
2026-08-10T15:53:57+00:00,21889
2026-08-10T15:54:07+00:00,21889
2026-08-10T15:54:17+00:00,21889
2026-08-10T15:54:27+00:00,21889
2026-08-10T15:54:37+00:00,21889
2026-08-10T15:54:47+00:00,21889
2026-08-10T15:54:57+00:00,21889
2026-08-10T15:55:08+00:00,21889
2026-08-10T15:55:18+00:00,21889
2026-08-10T15:55:28+00:00,21889
2026-08-10T15:55:38+00:00,21889
2026-08-10T15:55:48+00:00,21889
2026-08-10T15:55:58+00:00,21889
2026-08-10T15:56:08+00:00,21889
2026-08-10T15:56:18+00:00,21889
2026-08-10T15:56:28+00:00,21889
2026-08-10T15:56:38+00:00,21889
2026-08-10T15:56:48+00:00,21889
2026-08-10T15:56:58+00:00,21889
2026-08-10T15:57:08+00:00,21889
2026-08-10T15:57:18+00:00,21891
2026-08-10T15:57:28+00:00,21891
2026-08-10T15:57:38+00:00,21891
2026-08-10T15:57:48+00:00,21891
2026-08-10T15:57:58+00:00,21891
2026-08-10T15:58:08+00:00,21891
2026-08-10T15:58:18+00:00,21891
2026-08-10T15:58:28+00:00,21891
2026-08-10T15:58:38+00:00,21891
2026-08-10T15:58:48+00:00,21891
2026-08-10T15:58:58+00:00,21891
2026-08-10T15:59:08+00:00,21891
2026-08-10T15:59:18+00:00,21891
2026-08-10T15:59:28+00:00,21891
2026-08-10T15:59:38+00:00,21891
2026-08-10T15:59:48+00:00,21891
2026-08-10T15:59:58+00:00,21891
2026-08-10T16:00:09+00:00,21891
2026-08-10T16:00:19+00:00,21891
2026-08-10T16:00:29+00:00,21891
2026-08-10T16:00:39+00:00,21891
2026-08-10T16:00:49+00:00,21891
2026-08-10T16:00:59+00:00,21891
2026-08-10T16:01:09+00:00,21891
2026-08-10T16:01:19+00:00,21891
2026-08-10T16:01:29+00:00,21891
2026-08-10T16:01:39+00:00,21891
2026-08-10T16:01:49+00:00,21891
2026-08-10T16:01:59+00:00,21891
2026-08-10T16:02:09+00:00,21891
2026-08-10T16:02:19+00:00,21891
2026-08-10T16:02:29+00:00,21891
2026-08-10T16:02:39+00:00,21891
2026-08-10T16:02:49+00:00,21891
2026-08-10T16:02:59+00:00,21891
2026-08-10T16:03:09+00:00,21891
2026-08-10T16:03:19+00:00,21891
2026-08-10T16:03:29+00:00,21891
2026-08-10T16:03:39+00:00,21891
2026-08-10T16:03:49+00:00,21891
2026-08-10T16:03:59+00:00,21891
2026-08-10T16:04:09+00:00,21891
2026-08-10T16:04:19+00:00,21891
2026-08-10T16:04:29+00:00,21891
2026-08-10T16:04:39+00:00,21891
2026-08-10T16:04:49+00:00,21891
2026-08-10T16:05:00+00:00,21891
2026-08-10T16:05:10+00:00,21891
2026-08-10T16:05:20+00:00,21891
2026-08-10T16:05:30+00:00,21891
2026-08-10T16:05:40+00:00,21891
2026-08-10T16:05:50+00:00,21891
2026-08-10T16:06:00+00:00,21891
2026-08-10T16:06:10+00:00,21891
2026-08-10T16:06:20+00:00,21891
